"address","astralite_amount","astralite_tx","samarium_amount","samarium_tx","calamarite_amount","calamarite_tx","faucet_uses","gas_tx"
"0x9f8d9c183150f15ffba39b7b17c3e1a78e5e5478","383844","66","327040","65","372831","66","0","0"
"0xaac5e7e4d9d3b535a286e5a784d64d67af7dd4a1","10575792","2969","10293041","2923","11280611","2898","0","0"
"0x26ce8f32260f05e91faaf4f26569703cf5c52373","691","1","669","1","612","1","0","0"
"0x485f8eced21e7581ed582f8d9394a4e7584c7d8e","1112","1","932","1","1403","1","0","0"
"0xd079429401ca47b190dcaf2853bb8ccde199b563","54049","13","44304","13","54836","13","0","0"
"0xd6affec06f7688484643b50f7fae00927ceab84a","258","1","1128","1","287","1","0","0"
"0x031aeada4ff6096cca3ed161ec6a06125ba3d066","5086","3","7244","3","4976","3","0","0"
"0xab5da83c4b2ef1d1921f426c405adb9e0d8ef056","16136","8","17845","8","16714","8","0","0"
"0x8c6b1d93b59db869fd232a0e7ca38bcc696914c9","23129","3","28399","3","34213","3","0","0"
"0x4b22a3c99bcc08d2ea14a5fb6a4d09777a65e6ff","317536","24","195275","24","215450","24","0","0"
"0xaff85fbaefefb64fa0a535de424117a0a9d35b74","1622","1","1205","1","1016","1","0","0"
"0x3ec221a25b2dcf5634e4ff0af3b07ea17ae8d002","0","0","0","0","0","0","0","0"
"0xcc8356a48083c08c4792869ba6eb089cecb21797","108","1","0","0","0","0","0","0"
"0xdbedfdc1659f17b76ddfefee426c2478d774c109","126710","5","82587","5","91506","5","0","0"
"0xe794e62d11a11bf1ee8ff34eacdbd1c20f20b7a6","1448","2","4941","2","3114","2","0","0"
"0x67ba609c80f01ac8909d07a5c8f0f9c182c41bd3","14977","11","19881","10","11875","10","0","0"
"0x8812f12bf1b651b4c8231e033efc93b2cb8891fd","1263","1","753","1","0","0","0","0"
"0x9d67abaaa744b564fc605216dba6a8d684599537","0","0","0","0","0","0","0","0"
"0x6b2f05b70a48e7b81d646d79e0b720c7577cd645","0","0","0","0","0","0","0","0"
"0x93bf79e6a9944e1aa6c843680066dbcaab226f17","0","0","0","0","0","0","0","0"
"0x8c9ce89b2db559276ae9d7cbc473ca90e65b36b7","0","0","0","0","0","0","0","0"
"0x0581da444a46693496968d6611b15065fcf42140","0","0","0","0","0","0","0","0"
"0xbeaaf573c71f50086f4e9491d2338abfd023446d","0","0","0","0","0","0","0","0"
"0x62c85407bfa12cf5350dc6ac5cf1fdf3f45cc15f","0","0","0","0","0","0","0","0"
"0xa56cc2cc3fab1a0da80268ea83effbac3daaedc0","0","0","0","0","0","0","0","0"
"0xcf220df87427b8d97954af31d266177c0bcb145d","0","0","0","0","0","0","0","0"
"0xf3cc32a6545faffd5b8266ea5f4654b420345f42","0","0","0","0","0","0","0","0"
"0x93b7ee22a179c00e98e80792e89bae613f22c622","0","0","0","0","0","0","0","0"
"0x47bff18e462912ab61a465b2bc229e3857491aa6","0","0","0","0","0","0","0","0"
"0x0bddf4e169c35b77186c6ce1c987408689c4634d","0","0","0","0","0","0","0","0"
"0xccdf7faf3e42b9cbfc529c2ba5fde4b2a6892b80","0","0","0","0","0","0","0","0"
"0xa8fc32ed35cbf232cda8468da77e01183d3cd04c","0","0","0","0","0","0","0","0"
"0x34a0829701d144253566c789c4c4635132355ccd","51795","9","41706","9","52911","9","0","0"
"0xba1688252983cddf5c5484975f9e8da35ceb91bb","34320","65","39958","68","49321","66","0","0"
"0xb79bcb0cd6672662bf93aa2bee16726c654ca4b1","808","1","862","1","807","1","0","0"
"0x9420282ce93e91a0e756b8a33a48e64e863bca3e","74589","72","78503","74","92105","71","0","0"
"0x8246732bdd058b628b18661e69ab2fc1f29a432b","3221","1","2571","1","4203","1","0","0"
"0xd887474fe347562450a9a892204abb3d13039550","12937","2","12867","2","17433","2","0","0"
"0xd3a2978a9ad5ea4e76520594646ef7e8e1fffe1f","4156","3","3875","3","3806","3","0","0"
"0x92124ee0e7238992e5e7f34f9fbbcd71931abc6d","227","1","628","1","263","1","0","0"
"0x02b16229cc3d4b0b7d1e6c6006a76e9eee387caf","0","0","0","0","0","0","0","0"
"0x30303463339b79f36f548ee6c171ac0e00d713ae","0","0","0","0","0","0","0","0"
"0xc9634ebc37b543cbee414fcc4426f447370e50b5","0","0","0","0","0","0","0","0"
"0x992b855f94f907e0ad8483140fd1f6d125c8aa03","0","0","0","0","0","0","0","0"
"0x9dc6d51044fe2b9cb708a2e522ca21a62d35513e","0","0","0","0","0","0","0","0"
"0xae763e853ef7cd9b52ddabdd4181fedda322f59f","0","0","0","0","0","0","0","0"
"0x705317be1e94317672fcd2f39d7f5e607f9e4d97","0","0","0","0","0","0","0","0"
"0xbc90ead9929590f4490b400c766975ac8c150e9a","0","0","0","0","0","0","0","0"
"0x629dff6da36666063a31d59abf4302fcaabb2c11","0","0","0","0","0","0","0","0"
"0x7bacff455a5d921d2c953180083d488bd380eb2a","0","0","0","0","0","0","0","0"
"0x300f555bf2a6ba5e090d224687d8ff4703cd0f52","0","0","0","0","0","0","0","0"
"0x064401fa3796467257940bfc230e14abad73f378","0","0","0","0","0","0","0","0"
"0xadad5545a77b1748e69600b5560f2153abc19de7","0","0","0","0","0","0","0","0"
"0x8a9865785dbbd747fd67536112daf3ee161bc287","0","0","0","0","0","0","0","0"
"0xc78a4443164039a5d8cf91b75a090001e29d66fb","0","0","0","0","0","0","0","0"
"0x7569a5b6e2e5c6ca2d0faf1a8cb5c80c60895b81","0","0","0","0","0","0","0","0"
"0xa209a754da05c44e23d656a2bef3f6614d1cbeab","0","0","0","0","0","0","0","0"
"0x875576dfac97ef162a4b7b55fded46f2dd312ef0","0","0","0","0","0","0","0","0"
"0x17b339dd9579aec49d075d539729552b3488ebd2","0","0","0","0","0","0","0","0"
"0x932bad9228d2bb187548677ce6712f9b001993a9","0","0","0","0","0","0","0","0"
"0x492ec88d26f1e934cc93754f904806794e0aca31","0","0","0","0","0","0","0","0"
"0x27b7739f3aea9bc357526319c9cd82a0acb1887c","0","0","0","0","0","0","0","0"
"0x9210cbb688eb68d0c0dec88da9d7ee8a6b8b4dec","0","0","0","0","0","0","0","0"
"0xadbabcf1adff46f2a8f10783e3b70a23c0f00e51","0","0","0","0","0","0","0","0"
"0x8386a270f99a9cc491934f4355047d78005715d0","0","0","0","0","0","0","0","0"
"0x3c69cf466b8ccede9b7d25a96080eafbd02c446d","0","0","0","0","0","0","0","0"
"0xe13abdb784435f7e12656daa2fee2687b4486152","0","0","0","0","0","0","0","0"
"0x0efdcf9840fe91e3925e386d3633debed4369c27","0","0","0","0","0","0","0","0"
"0xa982f2965130fa59305e480ff42ab6a563b406a3","7775","8","7674","9","9227","8","0","0"
"0x87a71aa6355a9dcbb43868f6a4ac54116e0aaa8a","7122","5","10790","4","8798","4","0","0"
"0xf0c56251ce95e39882cc58f3cc14272771ae2f44","2053","2","3336","3","2962","2","0","0"
"0x4a74228bcac7cc2e6fa52eeb644005edbcb7ed9a","9215","9","11149","5","13593","7","0","0"
"0xfa5a1f0e3b506acb0d5183dbff6d0d6f33bcaea5","23934","17","21510","16","23677","16","0","0"
"0x8cd78a617bffcfba5daf0c01b6af522590952fce","5227","1","4825","1","3069","1","0","0"
"0xc2100a5022cd8fd7beedde6195a8894f2f0265da","11674","11","10772","10","11342","11","0","0"
"0x1d0e5f3459e16dd67bb3a985aca0f1e92d72fe09","69040","7","58406","7","72929","7","0","0"
"0x75e5ef92fd7b6bcd54869f096e8278cc079f5036","10105","3","8218","3","20475","3","0","0"
"0x34fab622936f58a77f18ea21cd4d3386afa68449","949","1","2942","1","1783","1","0","0"
"0x27534ee6a1d10afae2cef0a68f17623d060f01c7","738","1","1247","1","990","1","0","0"
"0x536ee857fcffe9e0b33d5cb17b69264588728a78","5137","1","5867","1","5628","1","0","0"
"0xabaf086c29e5ace29ba1fc79f0220c2f92385984","4332","2","2911","2","6658","2","0","0"
"0x4ce80cef4e36936a76ef8260afb9364cb44d6b82","15417","7","19407","7","21062","7","0","0"
"0xd373dd844d7d10f7c3cfa0d6206de57380d35611","38172","6","34895","6","32080","6","0","0"
"0x6b3a4bd72e25d26160e698d6e826c2ecbadef9c8","7646","4","6956","3","13345","3","0","0"
"0x5a6e9f05910e58c4fc2f8a0a766f576cafd49765","42260","5","44680","5","41194","5","0","0"
"0x43766a37ef46c17f493803f6d190b1f7d0ac2e7a","41950","20","42787","20","47540","20","0","0"
"0x3b3c5ba49da136c2761ac39a888e50d7c02edf88","118256","113","128718","113","130778","112","0","0"
"0x61cca8707ae928298d3b3e8c1de0d7095b7b74b6","163660","6","180461","6","186405","6","0","0"
"0xcbacf618fb3dcbe9a9000143be58eb01235efe9f","6660","3","5245","3","9168","3","0","0"
"0x80595a71b57636856b61e51a939aa511a5d4008d","0","0","0","0","0","0","0","0"
"0xbcd663e4856def593d86eca8898006d0eef03016","13850","4","11096","4","17131","3","0","0"
"0x6c96d29e8763ca0996f983c0469630a60b108c9f","4145","4","4775","4","4414","4","0","0"
"0xf0db619363881ceb6ba06b9ae3dd4886652aa896","20678","5","27940","5","28533","5","0","0"
"0xa3eedbe55d34899d8957470a20c35243a951cec6","3352","1","6857","1","3427","1","0","0"
"0x7d233827ec2949f79894ff9b37e35ff51216d080","645","1","3164","1","2531","1","0","0"
"0x0145582cb27bd79163462029a81bbb0b56a3991e","1009539","131","1016793","129","1122796","127","0","0"
"0x4350bfccfcd52bb5512244fcc3ce2bc878e9aa82","18807","2","18103","2","14765","2","0","0"
"0x96b59ac7d6d40bb27c90202a4793ad571cab15b3","38008","25","38166","25","32179","25","0","0"
"0xf8c01c7bdfbb7d2add39ed08368217d605d31f2f","630178","43","682624","43","770551","42","0","0"
"0xedcd33a9c1a6cff9a887e9054bb5933002ca13cc","45995","12","43787","12","45163","11","0","0"
"0x0fbebbcff5d4b0d8f6e440507350c7bb72bcd02e","0","0","0","0","0","0","0","0"
"0x0f617402b5954a8118ce951fbbddaf1a4ac16310","0","0","0","0","0","0","0","0"
"0x592ba89811880eb4d9dfb759979b35da8b986295","0","0","0","0","0","0","0","0"
"0xe0e11ee72a99d9b74708f70a97bc4af5f331defc","0","0","0","0","0","0","0","0"
"0x542325af03aff2b3ac9f0882b4442590717362c0","0","0","0","0","0","0","0","0"
"0x1af51642db6ec70e43e9d0cbc36872dd2f647f32","0","0","0","0","0","0","0","0"
"0x2d17e331a7eb8073c647ebb70bf44a429f9d9b91","0","0","0","0","0","0","0","0"
"0xfd80f0c6e080599dafd2a3d0160f60f9c8868f9d","0","0","0","0","0","0","0","0"
"0x51a4545bf235564f263fd165728c06c0c0296413","0","0","0","0","0","0","0","0"
"0x740f995effa4e423b42f491a3e772ae82227224d","0","0","0","0","0","0","0","0"
"0x9c854bf81c81cb5038ff3dd702e9e552f20fe1b5","0","0","0","0","0","0","0","0"
"0xb9072e7f4b25b523cd2144b05e8734b68e18fcb9","175862","97","155801","96","181137","96","0","0"
"0x10bdaea978fbad26b045278a04a42fd13949caa3","0","0","0","0","0","0","0","0"
"0x7cebae9a7fadf20087b6ac67cdb5d2c4e89fa667","42754","4","40613","4","39347","4","0","0"
"0xde848f5949206a9e66e1800e2c5a69d2601fbc22","1789","2","2751","2","3783","2","0","0"
"0x85799ff1c86f89fe9fb07773d1d240763b6039ce","6403","2","6058","2","7580","2","0","0"
"0xcda3f9f535587a85aed04397d933864256dfe1dc","114692","94","113878","92","122015","91","0","0"
"0x56c0723288e40e7edc516f358c9a9f01075c83bc","8575","3","9593","2","13639","2","0","0"
"0x1f137f133df19d65669165a0963fe72485c7fd0a","4107","3","3979","3","2383","3","0","0"
"0xc9ac4dcb8927891274442484701c104845a23367","1828","2","562","1","820","1","0","0"
"0xc9792727ef67867670d85ba7b8b694368f10ab5c","46541","22","48180","20","51872","20","0","0"
"0x414f5774846944908142e7c1fc6c91b5c14e0eea","6138","1","6591","1","4249","1","0","0"
"0x3cc47738fe7fc2587914d63420caf37cce129a02","20741","2","16550","2","19280","2","0","0"
"0xcf61d8fc50f84767ca932945d167fd613f5da53a","15679","4","16993","3","18001","3","0","0"
"0x12e6531c7e1f990d264cf0443ff7db196b9d18cc","10867","4","12753","4","10466","4","0","0"
"0x3013999a39d108e08193058054eac9db213a85be","1509635","237","1602637","232","1736677","232","0","0"
"0xc37f000de73a3032eeaa4fa4cbf4db8ec527552f","727581","12","761917","12","851778","12","0","0"
"0xe72aa6533d38009ebc810ded93ccd69f32e49db2","10193","4","11754","4","17967","4","0","0"
"0x5fa6c2cdc923631b99f42e7ab0ac44800fba1419","2587","3","2507","3","1753","3","0","0"
"0xed66e493e956849ff67b3e546f8daf3d68ec380e","11042","6","13190","6","16587","6","0","0"
"0x914bd52a86f6f2f3fc72843e69ee2dd8a54ed50c","23048","18","26116","18","21296","19","0","0"
"0x6013ad1e49066dc25bb8a82e2eb467add62265f9","724","1","863","1","1339","1","0","0"
"0xc339adc4352e66ac2d6bc14097d24b83dee5c01c","564","1","1001","1","3135","1","0","0"
"0x146e782479c3823e3addc2d0cc45ec57b8612276","52185","6","54454","6","58949","6","0","0"
"0x34cd39508ecaa638538e5a1b1be00ea3b7b5f2d6","11531","2","12804","2","16155","2","0","0"
"0x8bde4d211b511fb5b65977010315e6322a67044f","2621","2","2724","2","1809","2","0","0"
"0xdfdcc1a06b5d833c89197b8c216ac497d67ca5d9","9440","1","10149","1","15722","1","0","0"
"0x09a5e9ffe158e81e677ff5b7ac7a966780ff2427","24986","6","31874","6","36169","6","0","0"
"0x3ceec57a1f2be530c970f5dbd675d23d0ff3adfa","2556","4","4625","4","8500","3","0","0"
